"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes"
"1",2021-05-10,0,0,NA,0,NA
"2",2021-05-10,1,0,NA,0,NA
"3",2021-05-10,2,0,NA,0,NA
"4",2021-05-10,3,0,NA,0,NA
"5",2021-05-10,4,0,NA,0,NA
"6",2021-05-10,5,0,1,0,NA
"7",2021-05-10,6,0,NA,0,NA
"8",2021-05-10,7,0,1,0,NA
"9",2021-05-10,8,0,1,0,NA
"10",2021-05-10,9,1,0,0,NA
"11",2021-05-10,10,0,NA,0,NA
"12",2021-05-10,11,0,NA,0,NA
"13",2021-05-10,12,0,NA,0,NA
"14",2021-05-10,13,0,NA,0,NA
"15",2021-05-10,14,0,NA,0,NA
"16",2021-05-10,15,0,NA,0,NA
"17",2021-05-10,16,0,NA,0,NA
"18",2021-05-10,17,0,NA,0,NA
"19",2021-05-10,18,0,NA,0,NA
"20",2021-05-10,19,0,NA,0,NA
"21",2021-05-10,20,0,NA,0,NA
"22",2021-05-10,21,0,NA,0,NA
"23",2021-05-10,22,0,NA,0,NA
"24",2021-05-10,23,0,NA,0,NA
"25",2021-05-11,0,0,NA,0,NA
"26",2021-05-11,1,0,NA,0,NA
"27",2021-05-11,2,0,NA,0,NA
"28",2021-05-11,3,0,NA,0,NA
"29",2021-05-11,4,0,1,0,NA
"30",2021-05-11,5,0,NA,0,NA
"31",2021-05-11,6,0,1,0,NA
"32",2021-05-11,7,0,NA,0,NA
"33",2021-05-11,8,0,NA,0,NA
"34",2021-05-11,9,0,NA,0,NA
"35",2021-05-11,10,0,1,0,NA
"36",2021-05-11,11,0,NA,0,NA
"37",2021-05-11,12,0,NA,0,NA
"38",2021-05-11,13,0,NA,0,NA
"39",2021-05-11,14,0,NA,0,NA
"40",2021-05-11,15,0,NA,0,NA
"41",2021-05-11,16,0,NA,0,NA
"42",2021-05-11,17,0,NA,0,NA
"43",2021-05-11,18,0,NA,0,NA
"44",2021-05-11,19,0,NA,0,NA
"45",2021-05-11,20,0,NA,0,NA
"46",2021-05-11,21,0,NA,0,NA
"47",2021-05-11,22,0,2,0,NA
"48",2021-05-11,23,0,1,0,NA
"49",2021-05-12,0,0,1,0,"added on review"
"50",2021-05-12,1,0,1,0,NA
"51",2021-05-12,2,0,NA,0,NA
"52",2021-05-12,3,0,NA,0,NA
"53",2021-05-12,4,0,NA,0,NA
"54",2021-05-12,5,0,NA,0,NA
"55",2021-05-12,6,0,NA,0,NA
"56",2021-05-12,7,0,NA,0,NA
"57",2021-05-12,8,0,NA,0,NA
"58",2021-05-12,9,0,NA,0,NA
"59",2021-05-12,10,0,NA,0,NA
"60",2021-05-12,11,0,NA,0,NA
"61",2021-05-12,12,0,NA,0,NA
"62",2021-05-12,13,0,NA,0,NA
"63",2021-05-12,14,0,NA,0,NA
"64",2021-05-12,15,0,NA,0,NA
"65",2021-05-12,16,0,NA,0,NA
"66",2021-05-12,17,0,NA,0,NA
"67",2021-05-12,18,0,NA,0,NA
"68",2021-05-12,19,0,NA,0,NA
"69",2021-05-12,20,0,NA,0,NA
"70",2021-05-12,21,0,NA,0,NA
"71",2021-05-12,22,0,NA,0,NA
"72",2021-05-12,23,0,NA,0,NA
"73",2021-05-13,0,0,NA,0,NA
"74",2021-05-13,1,0,NA,0,NA
"75",2021-05-13,2,0,NA,0,NA
"76",2021-05-13,3,0,1,0,NA
"77",2021-05-13,4,0,NA,0,NA
"78",2021-05-13,5,0,1,0,NA
"79",2021-05-13,6,0,NA,0,NA
"80",2021-05-13,7,0,NA,0,NA
"81",2021-05-13,8,0,NA,0,NA
"82",2021-05-13,9,0,NA,0,NA
"83",2021-05-13,10,0,NA,0,NA
"84",2021-05-13,11,0,NA,0,NA
"85",2021-05-13,12,0,NA,0,NA
"86",2021-05-13,13,0,NA,0,NA
"87",2021-05-13,14,0,NA,0,NA
"88",2021-05-13,15,0,NA,0,NA
"89",2021-05-13,16,0,NA,0,NA
"90",2021-05-13,17,0,NA,0,NA
"91",2021-05-13,18,0,NA,0,NA
"92",2021-05-13,19,0,NA,0,NA
"93",2021-05-13,20,0,NA,0,NA
"94",2021-05-13,21,0,NA,0,NA
"95",2021-05-13,22,0,NA,0,NA
"96",2021-05-13,23,0,NA,0,NA
"97",2021-05-14,0,0,NA,0,NA
"98",2021-05-14,1,0,NA,0,NA
"99",2021-05-14,2,0,1,0,NA
"100",2021-05-14,3,0,NA,0,NA
"101",2021-05-14,4,0,NA,0,NA
"102",2021-05-14,5,0,NA,0,NA
"103",2021-05-14,6,0,NA,0,NA
"104",2021-05-14,7,0,1,0,NA
"105",2021-05-14,8,0,NA,0,NA
"106",2021-05-14,9,0,1,0,NA
"107",2021-05-14,10,0,NA,0,NA
"108",2021-05-14,11,0,NA,0,NA
"109",2021-05-14,12,0,NA,0,NA
"110",2021-05-14,13,0,NA,0,NA
"111",2021-05-14,14,0,NA,0,NA
"112",2021-05-14,15,0,NA,0,NA
"113",2021-05-14,16,0,NA,0,NA
"114",2021-05-14,17,0,1,0,NA
"115",2021-05-14,18,0,NA,0,NA
"116",2021-05-14,19,0,NA,0,NA
"117",2021-05-14,20,0,NA,0,NA
"118",2021-05-14,21,0,NA,0,NA
"119",2021-05-14,22,0,NA,0,NA
"120",2021-05-14,23,0,NA,0,NA
"121",2021-05-15,0,0,NA,0,NA
"122",2021-05-15,1,0,NA,0,NA
"123",2021-05-15,2,0,NA,0,NA
"124",2021-05-15,3,1,2,0,"M at 3:57:54; Added on review; Added on review"
"125",2021-05-15,4,0,1,1,"Added on review; Added on review"
"126",2021-05-15,5,0,NA,0,NA
"127",2021-05-15,6,0,NA,0,NA
"128",2021-05-15,7,0,NA,0,NA
"129",2021-05-15,8,0,NA,0,NA
"130",2021-05-15,9,0,NA,0,NA
"131",2021-05-15,10,0,NA,0,NA
"132",2021-05-15,11,0,NA,0,NA
"133",2021-05-15,12,0,NA,0,NA
"134",2021-05-15,13,0,NA,0,NA
"135",2021-05-15,14,0,NA,0,NA
"136",2021-05-15,15,0,NA,0,NA
"137",2021-05-15,16,0,NA,0,NA
"138",2021-05-15,17,0,NA,0,NA
"139",2021-05-15,18,0,NA,0,NA
"140",2021-05-15,19,0,NA,0,NA
"141",2021-05-15,20,0,NA,0,NA
"142",2021-05-15,21,0,NA,0,NA
"143",2021-05-15,22,0,NA,0,NA
"144",2021-05-15,23,0,NA,0,NA
"145",2021-05-16,0,0,NA,0,NA
"146",2021-05-16,1,0,NA,0,NA
"147",2021-05-16,2,0,2,0,NA
"148",2021-05-16,3,0,NA,0,NA
"149",2021-05-16,4,0,1,0,NA
"150",2021-05-16,5,0,NA,0,NA
"151",2021-05-16,6,1,0,0,NA
"152",2021-05-16,7,1,0,0,NA
"153",2021-05-16,8,0,NA,0,NA
"154",2021-05-16,9,0,NA,0,NA
"155",2021-05-16,10,0,NA,0,NA
"156",2021-05-16,11,0,NA,0,NA
"157",2021-05-16,12,0,NA,0,NA
"158",2021-05-16,13,0,NA,0,NA
"159",2021-05-16,14,0,NA,0,NA
"160",2021-05-16,15,0,NA,0,NA
"161",2021-05-16,16,0,NA,0,NA
"162",2021-05-16,17,0,NA,0,NA
"163",2021-05-16,18,0,NA,0,NA
"164",2021-05-16,19,0,1,0,NA
"165",2021-05-16,20,0,NA,0,NA
"166",2021-05-16,21,0,NA,0,NA
"167",2021-05-16,22,0,NA,0,NA
"168",2021-05-16,23,0,NA,0,NA
"169",2021-05-17,0,0,NA,0,NA
"170",2021-05-17,1,0,NA,0,NA
"171",2021-05-17,2,0,NA,0,NA
"172",2021-05-17,3,0,1,0,NA
"173",2021-05-17,4,0,NA,0,NA
"174",2021-05-17,5,0,NA,0,NA
"175",2021-05-17,6,0,1,0,NA
"176",2021-05-17,7,0,NA,0,NA
"177",2021-05-17,8,0,1,0,NA
"178",2021-05-17,9,0,NA,0,NA
"179",2021-05-17,10,0,NA,0,NA
"180",2021-05-17,11,0,NA,0,NA
"181",2021-05-17,12,0,NA,0,NA
"182",2021-05-17,13,0,NA,0,NA
"183",2021-05-17,14,0,NA,0,NA
"184",2021-05-17,15,0,NA,0,NA
"185",2021-05-17,16,0,NA,0,NA
"186",2021-05-17,17,0,NA,0,NA
"187",2021-05-17,18,0,NA,0,NA
"188",2021-05-17,19,0,NA,0,NA
"189",2021-05-17,20,0,1,0,NA
"190",2021-05-17,21,0,NA,0,NA
"191",2021-05-17,22,0,1,0,"added on review"
"192",2021-05-17,23,1,1,1,"; added on review; added on review"
"193",2021-05-18,0,0,1,1,"; added on review"
"194",2021-05-18,1,1,0,0,NA
"195",2021-05-18,2,0,1,0,"added on review"
"196",2021-05-18,3,0,1,0,NA
"197",2021-05-18,4,0,2,0,"added on review, sound clip; added on review"
"198",2021-05-18,5,2,3,0,"; added on review, sound clip; ; added on review; added on review"
"199",2021-05-18,6,0,NA,0,NA
"200",2021-05-18,7,0,NA,0,NA
"201",2021-05-18,8,0,0,1,NA
"202",2021-05-18,9,0,NA,0,NA
"203",2021-05-18,10,0,NA,0,NA
"204",2021-05-18,11,0,NA,0,NA
"205",2021-05-18,12,0,NA,0,NA
"206",2021-05-18,13,0,NA,0,NA
"207",2021-05-18,14,0,NA,0,NA
"208",2021-05-18,15,0,NA,0,NA
"209",2021-05-18,16,0,NA,0,NA
"210",2021-05-18,17,0,NA,0,NA
"211",2021-05-18,18,0,NA,0,NA
"212",2021-05-18,19,0,NA,0,NA
"213",2021-05-18,20,0,NA,0,NA
"214",2021-05-18,21,0,NA,0,NA
"215",2021-05-18,22,0,NA,0,NA
"216",2021-05-18,23,1,0,0,"M at 23:40:07"
"217",2021-05-19,0,0,NA,0,NA
"218",2021-05-19,1,0,NA,0,NA
"219",2021-05-19,2,0,NA,0,NA
"220",2021-05-19,3,0,1,0,NA
"221",2021-05-19,4,0,NA,0,NA
"222",2021-05-19,5,1,1,0,NA
"223",2021-05-19,6,0,NA,0,NA
"224",2021-05-19,7,0,1,0,"no sound clip due to ambient noise"
"225",2021-05-19,8,0,NA,0,NA
"226",2021-05-19,9,0,NA,0,NA
"227",2021-05-19,10,0,NA,0,NA
"228",2021-05-19,11,0,NA,0,NA
"229",2021-05-19,12,0,NA,0,NA
"230",2021-05-19,13,0,NA,0,NA
"231",2021-05-19,14,0,NA,0,NA
"232",2021-05-19,15,0,NA,0,NA
"233",2021-05-19,16,0,NA,0,NA
"234",2021-05-19,17,0,NA,0,NA
"235",2021-05-19,18,0,NA,0,NA
"236",2021-05-19,19,0,NA,0,NA
"237",2021-05-19,20,0,NA,0,NA
"238",2021-05-19,21,0,NA,0,NA
"239",2021-05-19,22,0,1,0,NA
"240",2021-05-19,23,0,2,0,"; added on review"
"241",2021-05-20,0,1,1,1,"M at 0:23:06; ; added on review"
"242",2021-05-20,1,3,0,0,"; ; added on review"
"243",2021-05-20,2,0,1,0,NA
"244",2021-05-20,3,0,1,0,NA
"245",2021-05-20,4,1,1,0,"; added on review"
"246",2021-05-20,5,1,0,0,NA
"247",2021-05-20,6,1,2,0,"; added on review; added on review"
"248",2021-05-20,7,3,0,0,"; added on review; added on review"
"249",2021-05-20,8,0,1,0,NA
"250",2021-05-20,9,0,NA,0,NA
"251",2021-05-20,10,0,1,0,NA
"252",2021-05-20,11,0,NA,0,NA
"253",2021-05-20,12,0,NA,0,NA
"254",2021-05-20,13,0,NA,0,NA
"255",2021-05-20,14,0,NA,0,NA
"256",2021-05-20,15,0,NA,0,NA
"257",2021-05-20,16,0,NA,0,NA
"258",2021-05-20,17,0,NA,0,NA
"259",2021-05-20,18,0,NA,0,NA
"260",2021-05-20,19,0,NA,0,NA
"261",2021-05-20,20,0,NA,0,NA
"262",2021-05-20,21,0,NA,0,NA
"263",2021-05-20,22,0,1,2,"; added on review; added on review"
"264",2021-05-20,23,1,1,0,"added on review; added on review"
"265",2021-05-21,0,0,1,0,NA
"266",2021-05-21,1,0,1,0,NA
"267",2021-05-21,2,0,NA,0,NA
"268",2021-05-21,3,1,0,0,"added on review"
"269",2021-05-21,4,2,2,0,"; added on review; sound clip; added on review; no sound clip due to other vessel noiseadded on review"
"270",2021-05-21,5,0,1,1,"no sound clip; "
"271",2021-05-21,6,0,1,0,"added on review"
"272",2021-05-21,7,0,2,0,"; added on review"
"273",2021-05-21,8,0,2,0,"; added on review"
"274",2021-05-21,9,0,1,0,NA
"275",2021-05-21,10,0,1,0,NA
"276",2021-05-21,11,0,NA,0,NA
"277",2021-05-21,12,0,NA,0,NA
"278",2021-05-21,13,0,NA,0,NA
"279",2021-05-21,14,0,1,0,NA
"280",2021-05-21,15,0,NA,0,NA
"281",2021-05-21,16,0,NA,0,NA
"282",2021-05-21,17,0,NA,0,NA
"283",2021-05-21,18,0,1,0,NA
"284",2021-05-21,19,0,NA,0,NA
"285",2021-05-21,20,0,NA,0,NA
"286",2021-05-21,21,0,NA,0,NA
"287",2021-05-21,22,0,NA,0,NA
"288",2021-05-21,23,0,NA,0,NA
"289",2021-05-22,0,0,NA,0,NA
"290",2021-05-22,1,0,1,0,NA
"291",2021-05-22,2,0,NA,0,NA
"292",2021-05-22,3,0,NA,0,NA
"293",2021-05-22,4,0,NA,0,NA
"294",2021-05-22,5,0,NA,0,NA
"295",2021-05-22,6,0,1,0,NA
"296",2021-05-22,7,0,NA,0,NA
"297",2021-05-22,8,0,NA,0,NA
"298",2021-05-22,9,0,NA,0,NA
"299",2021-05-22,10,0,NA,0,NA
"300",2021-05-22,11,0,NA,0,NA
"301",2021-05-22,12,0,NA,0,NA
"302",2021-05-22,13,0,NA,0,NA
"303",2021-05-22,14,0,NA,0,NA
"304",2021-05-22,15,0,1,0,"no sound clip due to ambient noise"
"305",2021-05-22,16,0,NA,0,NA
"306",2021-05-22,17,0,NA,0,NA
"307",2021-05-22,18,0,NA,0,NA
"308",2021-05-22,19,0,NA,0,NA
"309",2021-05-22,20,0,NA,0,NA
"310",2021-05-22,21,0,NA,0,NA
"311",2021-05-22,22,0,NA,0,NA
"312",2021-05-22,23,0,NA,0,NA
"313",2021-05-23,0,0,NA,0,NA
"314",2021-05-23,1,0,NA,0,NA
"315",2021-05-23,2,0,NA,0,NA
"316",2021-05-23,3,0,NA,0,NA
"317",2021-05-23,4,0,1,0,NA
"318",2021-05-23,5,0,1,0,"no sound clip due to ambient noise"
"319",2021-05-23,6,0,NA,0,NA
"320",2021-05-23,7,0,NA,0,NA
"321",2021-05-23,8,0,NA,0,NA
"322",2021-05-23,9,0,NA,0,NA
"323",2021-05-23,10,0,NA,0,NA
"324",2021-05-23,11,0,NA,0,NA
"325",2021-05-23,12,0,NA,0,NA
"326",2021-05-23,13,0,NA,0,NA
"327",2021-05-23,14,0,NA,0,NA
"328",2021-05-23,15,0,NA,0,NA
"329",2021-05-23,16,0,NA,0,NA
"330",2021-05-23,17,0,NA,0,NA
"331",2021-05-23,18,0,NA,0,NA
"332",2021-05-23,19,0,NA,0,NA
"333",2021-05-23,20,0,NA,0,NA
"334",2021-05-23,21,0,NA,0,NA
"335",2021-05-23,22,0,NA,0,NA
"336",2021-05-23,23,0,NA,0,NA
"337",2021-05-24,0,0,NA,0,NA
"338",2021-05-24,1,0,NA,0,NA
"339",2021-05-24,2,0,NA,0,NA
"340",2021-05-24,3,0,NA,0,NA
"341",2021-05-24,4,0,NA,0,NA
"342",2021-05-24,5,0,NA,0,NA
"343",2021-05-24,6,0,NA,0,NA
"344",2021-05-24,7,0,NA,0,NA
"345",2021-05-24,8,0,NA,0,NA
"346",2021-05-24,9,0,NA,0,NA
"347",2021-05-24,10,0,1,0,NA
"348",2021-05-24,11,0,NA,0,NA
"349",2021-05-24,12,0,NA,0,NA
"350",2021-05-24,13,0,NA,0,NA
"351",2021-05-24,14,0,NA,0,NA
"352",2021-05-24,15,0,NA,0,NA
"353",2021-05-24,16,0,NA,0,NA
"354",2021-05-24,17,0,NA,0,NA
"355",2021-05-24,18,0,NA,0,NA
"356",2021-05-24,19,0,NA,0,NA
"357",2021-05-24,20,0,NA,0,NA
"358",2021-05-24,21,0,1,0,NA
"359",2021-05-24,22,0,NA,0,NA
"360",2021-05-24,23,0,1,1,"; added on review"
"361",2021-05-25,0,0,1,0,"added on review"
"362",2021-05-25,1,1,1,0,"; added on review"
"363",2021-05-25,2,0,NA,0,NA
"364",2021-05-25,3,1,0,0,NA
"365",2021-05-25,4,0,1,0,"added on review; no sound clip"
"366",2021-05-25,5,1,1,0,"; Added on review"
"367",2021-05-25,6,1,1,0,"Added on review; Added on review"
"368",2021-05-25,7,0,0,1,NA
"369",2021-05-25,8,0,NA,0,NA
"370",2021-05-25,9,1,0,0,NA
"371",2021-05-25,10,0,NA,0,NA
"372",2021-05-25,11,0,NA,0,NA
"373",2021-05-25,12,0,NA,0,NA
"374",2021-05-25,13,0,NA,0,NA
"375",2021-05-25,14,0,NA,0,NA
"376",2021-05-25,15,0,1,0,NA
"377",2021-05-25,16,0,0,1,NA
"378",2021-05-25,17,0,NA,0,NA
"379",2021-05-25,18,0,NA,0,NA
"380",2021-05-25,19,0,NA,0,NA
"381",2021-05-25,20,0,NA,0,NA
"382",2021-05-25,21,0,1,0,NA
"383",2021-05-25,22,0,NA,0,NA
"384",2021-05-25,23,0,NA,0,NA
"385",2021-05-26,0,1,0,0,NA
"386",2021-05-26,1,0,NA,0,NA
"387",2021-05-26,2,0,NA,0,NA
"388",2021-05-26,3,0,1,0,NA
"389",2021-05-26,4,0,NA,0,NA
"390",2021-05-26,5,0,NA,0,NA
"391",2021-05-26,6,0,0,1,NA
"392",2021-05-26,7,0,1,0,NA
"393",2021-05-26,8,0,NA,0,NA
"394",2021-05-26,9,0,NA,0,NA
"395",2021-05-26,10,0,NA,0,NA
"396",2021-05-26,11,0,NA,0,NA
"397",2021-05-26,12,0,NA,0,NA
"398",2021-05-26,13,0,NA,0,NA
"399",2021-05-26,14,0,NA,0,NA
"400",2021-05-26,15,0,NA,0,NA
"401",2021-05-26,16,0,NA,0,NA
"402",2021-05-26,17,0,NA,0,NA
"403",2021-05-26,18,0,NA,0,NA
"404",2021-05-26,19,0,NA,0,NA
"405",2021-05-26,20,0,NA,0,NA
"406",2021-05-26,21,0,NA,0,NA
"407",2021-05-26,22,0,NA,0,NA
"408",2021-05-26,23,0,NA,0,NA
"409",2021-05-27,0,0,NA,0,NA
"410",2021-05-27,1,0,NA,0,NA
"411",2021-05-27,2,0,NA,0,NA
"412",2021-05-27,3,0,1,0,NA
"413",2021-05-27,4,0,NA,0,NA
"414",2021-05-27,5,0,NA,0,NA
"415",2021-05-27,6,0,NA,0,NA
"416",2021-05-27,7,0,1,0,NA
"417",2021-05-27,8,0,1,0,NA
"418",2021-05-27,9,0,0,1,NA
"419",2021-05-27,10,0,NA,0,NA
"420",2021-05-27,11,0,NA,0,NA
"421",2021-05-27,12,3,0,0,NA
"422",2021-05-27,13,0,NA,0,NA
"423",2021-05-27,14,0,NA,0,NA
"424",2021-05-27,15,0,NA,0,NA
"425",2021-05-27,16,0,NA,0,NA
"426",2021-05-27,17,0,NA,0,NA
"427",2021-05-27,18,0,NA,0,NA
"428",2021-05-27,19,0,NA,0,NA
"429",2021-05-27,20,0,NA,0,NA
"430",2021-05-27,21,0,NA,0,NA
"431",2021-05-27,22,0,NA,0,NA
"432",2021-05-27,23,0,1,0,NA
"433",2021-05-28,0,0,NA,0,NA
"434",2021-05-28,1,0,NA,0,NA
"435",2021-05-28,2,0,1,0,NA
"436",2021-05-28,3,0,NA,0,NA
"437",2021-05-28,4,0,0,1,NA
"438",2021-05-28,5,0,NA,0,NA
"439",2021-05-28,6,0,NA,0,NA
"440",2021-05-28,7,0,NA,0,NA
"441",2021-05-28,8,0,NA,0,NA
"442",2021-05-28,9,0,0,1,NA
"443",2021-05-28,10,0,NA,0,NA
"444",2021-05-28,11,0,NA,0,NA
"445",2021-05-28,12,0,NA,0,NA
"446",2021-05-28,13,0,NA,0,NA
"447",2021-05-28,14,0,NA,0,NA
"448",2021-05-28,15,0,NA,0,NA
"449",2021-05-28,16,0,1,0,NA
"450",2021-05-28,17,0,NA,0,NA
"451",2021-05-28,18,0,NA,0,NA
"452",2021-05-28,19,0,NA,0,NA
"453",2021-05-28,20,0,NA,0,NA
"454",2021-05-28,21,0,NA,0,NA
"455",2021-05-28,22,0,NA,0,NA
"456",2021-05-28,23,0,NA,0,NA
"457",2021-05-29,0,0,NA,0,NA
"458",2021-05-29,1,0,NA,0,NA
"459",2021-05-29,2,0,NA,0,NA
"460",2021-05-29,3,0,NA,0,NA
"461",2021-05-29,4,0,NA,0,NA
"462",2021-05-29,5,0,NA,0,NA
"463",2021-05-29,6,0,NA,0,NA
"464",2021-05-29,7,0,NA,0,NA
"465",2021-05-29,8,0,NA,0,NA
"466",2021-05-29,9,0,0,1,NA
"467",2021-05-29,10,0,NA,0,NA
"468",2021-05-29,11,0,NA,0,NA
"469",2021-05-29,12,0,NA,0,NA
"470",2021-05-29,13,0,1,0,NA
"471",2021-05-29,14,0,NA,0,NA
