network,npz_id,Site_ID,Dep,Weekday,median_prop,qt25,qt75,min_perc,max_perc
Temperate East,CGMP,CG,CGMP_201807_CG,M,0.3125,0.17708333333333334,0.4270833333333333,0.08333333333333333,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201807_CG,T,0.375,0.041666666666666664,0.375,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201807_CG,W,0.3333333333333333,0.3333333333333333,0.375,0.08333333333333333,0.4166666666666667
Temperate East,CGMP,CG,CGMP_201807_CG,R,0.4583333333333333,0.2916666666666667,0.4583333333333333,0.25,0.5416666666666666
Temperate East,CGMP,CG,CGMP_201807_CG,F,0.16666666666666666,0.08333333333333333,0.25,0.041666666666666664,0.4166666666666667
Temperate East,CGMP,CG,CGMP_201807_CG,Sa,0.25,0.16666666666666666,0.375,0.08333333333333333,0.5833333333333334
Temperate East,CGMP,CG,CGMP_201807_CG,Su,0.16666666666666666,0.125,0.375,0.041666666666666664,0.5
Temperate East,CGMP,CG,CGMP_201812_CG,M,0.20833333333333334,0.08333333333333333,0.4583333333333333,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201812_CG,T,0.20833333333333334,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.375
Temperate East,CGMP,CG,CGMP_201812_CG,W,0.20833333333333331,0.11458333333333333,0.3333333333333333,0.041666666666666664,0.5416666666666666
Temperate East,CGMP,CG,CGMP_201812_CG,R,0.25,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.625
Temperate East,CGMP,CG,CGMP_201812_CG,F,0.125,0.041666666666666664,0.3020833333333333,0.041666666666666664,0.375
Temperate East,CGMP,CG,CGMP_201812_CG,Sa,0.22916666666666669,0.14583333333333334,0.3958333333333333,0.041666666666666664,0.6666666666666666
Temperate East,CGMP,CG,CGMP_201812_CG,Su,0.20833333333333334,0.125,0.3333333333333333,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201904_CG,M,0.125,0.08333333333333333,0.25,0.041666666666666664,0.375
Temperate East,CGMP,CG,CGMP_201904_CG,T,0.2916666666666667,0.19791666666666666,0.3645833333333333,0.08333333333333333,0.5416666666666666
Temperate East,CGMP,CG,CGMP_201904_CG,W,0.2916666666666667,0.125,0.3333333333333333,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201904_CG,R,0.16666666666666666,0.125,0.4166666666666667,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201904_CG,F,0.25,0.11458333333333334,0.3229166666666667,0.041666666666666664,0.5
Temperate East,CGMP,CG,CGMP_201904_CG,Sa,0.22916666666666666,0.08333333333333333,0.4166666666666667,0.041666666666666664,0.5833333333333334
Temperate East,CGMP,CG,CGMP_201904_CG,Su,0.25,0.08333333333333333,0.375,0.041666666666666664,0.5
Temperate East,SIMP,EP,SIMP_201808_EP,M,0.08333333333333333,0.08333333333333333,0.14583333333333334,0.08333333333333333,0.20833333333333334
Temperate East,SIMP,EP,SIMP_201808_EP,T,0.16666666666666666,0.14583333333333331,0.25,0.125,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201808_EP,W,0.1875,0.13541666666666666,0.2604166666666667,0.041666666666666664,0.4166666666666667
Temperate East,SIMP,EP,SIMP_201808_EP,R,0.29166666666666663,0.20833333333333334,0.375,0.08333333333333333,0.5
Temperate East,SIMP,EP,SIMP_201808_EP,F,0.16666666666666666,0.125,0.20833333333333334,0.08333333333333333,0.375
Temperate East,SIMP,EP,SIMP_201808_EP,Sa,0.20833333333333334,0.16666666666666666,0.25,0.125,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201808_EP,Su,0.16666666666666666,0.125,0.16666666666666666,0.125,0.2916666666666667
Temperate East,SIMP,EP,SIMP_201812_EP,M,0.3333333333333333,0.25,0.375,0.16666666666666666,0.4166666666666667
Temperate East,SIMP,EP,SIMP_201812_EP,T,0.20833333333333334,0.125,0.3333333333333333,0.041666666666666664,0.4583333333333333
Temperate East,SIMP,EP,SIMP_201812_EP,W,0.20833333333333334,0.125,0.2916666666666667,0.041666666666666664,0.2916666666666667
Temperate East,SIMP,EP,SIMP_201812_EP,R,0.25,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201812_EP,F,0.22916666666666666,0.10416666666666667,0.3333333333333333,0.041666666666666664,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201812_EP,Sa,0.20833333333333334,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201812_EP,Su,0.14583333333333334,0.08333333333333333,0.23958333333333331,0.08333333333333333,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201906_EP,M,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Temperate East,SIMP,EP,SIMP_201906_EP,T,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
Temperate East,SIMP,EP,SIMP_201906_EP,W,0.08333333333333333,0.08333333333333333,0.1875,0.08333333333333333,0.2916666666666667
Temperate East,SIMP,EP,SIMP_201906_EP,R,0.2708333333333333,0.15625,0.3854166666666667,0.041666666666666664,0.5
Temperate East,SIMP,EP,SIMP_201906_EP,F,0.16666666666666666,0.125,0.1875,0.08333333333333333,0.20833333333333334
Temperate East,SIMP,EP,SIMP_201906_EP,Sa,0.125,0.10416666666666666,0.25,0.08333333333333333,0.375
Temperate East,SIMP,EP,SIMP_201906_EP,Su,0.041666666666666664,0.041666666666666664,0.10416666666666666,0.041666666666666664,0.16666666666666666
Temperate East,SIMP,WP,SIMP_201808_WP,M,0.0625,0.041666666666666664,0.13541666666666669,0.041666666666666664,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201808_WP,T,0.22916666666666669,0.19791666666666669,0.2604166666666667,0.16666666666666666,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201808_WP,W,0.25,0.19791666666666666,0.3229166666666667,0.16666666666666666,0.4166666666666667
Temperate East,SIMP,WP,SIMP_201808_WP,R,0.3125,0.25,0.3854166666666667,0.25,0.4166666666666667
Temperate East,SIMP,WP,SIMP_201808_WP,F,0.16666666666666666,0.16666666666666666,0.25,0.125,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201808_WP,Sa,0.25,0.16666666666666666,0.2916666666666667,0.041666666666666664,0.4166666666666667
Temperate East,SIMP,WP,SIMP_201808_WP,Su,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201812_WP,M,0.3333333333333333,0.22916666666666666,0.35416666666666663,0.125,0.375
Temperate East,SIMP,WP,SIMP_201812_WP,T,0.20833333333333334,0.14583333333333334,0.3541666666666667,0.08333333333333333,0.5
Temperate East,SIMP,WP,SIMP_201812_WP,W,0.25,0.25,0.25,0.041666666666666664,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201812_WP,R,0.2916666666666667,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.375
Temperate East,SIMP,WP,SIMP_201812_WP,F,0.25,0.16666666666666666,0.2916666666666667,0.041666666666666664,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201812_WP,Sa,0.25,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.3333333333333333
Temperate East,SIMP,WP,SIMP_201812_WP,Su,0.16666666666666666,0.08333333333333333,0.2708333333333333,0.08333333333333333,0.3333333333333333
Temperate East,SIMP,WP,SIMP_201906_WP,M,0.125,0.0625,0.27083333333333337,0.041666666666666664,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201906_WP,T,0.14583333333333331,0.07291666666666667,0.25,0.041666666666666664,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201906_WP,W,0.125,0.08333333333333333,0.22916666666666666,0.041666666666666664,0.2916666666666667
Temperate East,SIMP,WP,SIMP_201906_WP,R,0.125,0.07291666666666667,0.1875,0.041666666666666664,0.25
Temperate East,SIMP,WP,SIMP_201906_WP,F,0.08333333333333333,0.05208333333333333,0.11458333333333333,0.041666666666666664,0.16666666666666666
Temperate East,SIMP,WP,SIMP_201906_WP,Sa,0.2916666666666667,0.16666666666666669,0.3541666666666667,0.08333333333333333,0.375
Temperate East,SIMP,WP,SIMP_201906_WP,Su,0.16666666666666666,0.13541666666666666,0.19791666666666666,0.041666666666666664,0.2916666666666667
Northwest,DMP,DNE,DAMPIER_202009_DNE,M,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
Northwest,DMP,DNE,DAMPIER_202009_DNE,T,0.10416666666666666,0.05208333333333333,0.15625,0.041666666666666664,0.20833333333333334
Northwest,DMP,DNE,DAMPIER_202009_DNE,W,0.125,0.10416666666666666,0.125,0.08333333333333333,0.25
Northwest,DMP,DNE,DAMPIER_202009_DNE,R,0.125,0.041666666666666664,0.22916666666666669,0.041666666666666664,0.4166666666666667
Northwest,DMP,DNE,DAMPIER_202009_DNE,F,0.125,0.07291666666666667,0.16666666666666666,0.041666666666666664,0.25
Northwest,DMP,DNE,DAMPIER_202009_DNE,Sa,0.08333333333333333,0.041666666666666664,0.10416666666666666,0.041666666666666664,0.125
Northwest,DMP,DNE,DAMPIER_202009_DNE,Su,0.041666666666666664,0.041666666666666664,0.10416666666666666,0.041666666666666664,0.16666666666666666
Northwest,DMP,DSW,DAMPIER_202009_DSW,M,0.125,0.10416666666666666,0.125,0.041666666666666664,0.3333333333333333
Northwest,DMP,DSW,DAMPIER_202009_DSW,T,0.14583333333333331,0.08333333333333333,0.1875,0.08333333333333333,0.3333333333333333
Northwest,DMP,DSW,DAMPIER_202009_DSW,W,0.16666666666666666,0.125,0.21875,0.08333333333333333,0.25
Northwest,DMP,DSW,DAMPIER_202009_DSW,R,0.20833333333333334,0.15625,0.22916666666666669,0.125,0.3333333333333333
Northwest,DMP,DSW,DAMPIER_202009_DSW,F,0.125,0.11458333333333333,0.3020833333333333,0.08333333333333333,0.375
Northwest,DMP,DSW,DAMPIER_202009_DSW,Sa,0.125,0.10416666666666666,0.1875,0.041666666666666664,0.25
Northwest,DMP,DSW,DAMPIER_202009_DSW,Su,0.125,0.08333333333333333,0.125,0.041666666666666664,0.2916666666666667
Northwest,NMP,NGN,NINGALOO_201909_NGN,M,0.0625,0.05208333333333333,0.07291666666666667,0.041666666666666664,0.08333333333333333
Northwest,NMP,NGN,NINGALOO_201909_NGN,T,0.0625,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333
Northwest,NMP,NGN,NINGALOO_201909_NGN,W,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
Northwest,NMP,NGN,NINGALOO_201909_NGN,R,0.08333333333333333,0.0625,0.125,0.041666666666666664,0.16666666666666666
Northwest,NMP,NGN,NINGALOO_201909_NGN,F,0.0625,0.041666666666666664,0.09375,0.041666666666666664,0.125
Northwest,NMP,NGN,NINGALOO_201909_NGN,Sa,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333
Northwest,NMP,NGN,NINGALOO_201909_NGN,Su,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
Northwest,NMP,NGS,NINGALOO_201909_NGS,M,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333
Northwest,NMP,NGS,NINGALOO_201909_NGS,T,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.20833333333333334
Northwest,NMP,NGS,NINGALOO_201909_NGS,W,0.041666666666666664,0.041666666666666664,0.07291666666666667,0.041666666666666664,0.08333333333333333
Northwest,NMP,NGS,NINGALOO_201909_NGS,R,0.041666666666666664,0.041666666666666664,0.05208333333333333,0.041666666666666664,0.20833333333333334
Northwest,NMP,NGS,NINGALOO_201909_NGS,F,0.0625,0.041666666666666664,0.09375,0.041666666666666664,0.125
Northwest,NMP,NGS,NINGALOO_201909_NGS,Sa,0.041666666666666664,0.041666666666666664,0.05208333333333333,0.041666666666666664,0.08333333333333333
Northwest,NMP,NGS,NINGALOO_201909_NGS,Su,0.041666666666666664,0.041666666666666664,0.05208333333333333,0.041666666666666664,0.125
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,M,0.125,0.08333333333333333,0.1875,0.041666666666666664,0.25
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,T,0.125,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.375
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,W,0.16666666666666669,0.10416666666666667,0.2708333333333333,0.041666666666666664,0.375
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,R,0.125,0.08333333333333333,0.29166666666666663,0.041666666666666664,0.4166666666666667
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,F,0.27083333333333337,0.23958333333333334,0.34375,0.041666666666666664,0.4583333333333333
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,Sa,0.375,0.14583333333333331,0.5,0.041666666666666664,0.7083333333333334
South-west,GMP,GEO,GEOGRAPHE_202201_GEO,Su,0.3125,0.17708333333333334,0.375,0.041666666666666664,0.5
South-west,JMP,JNE,JURIEN_202201_JNE,M,0.16666666666666666,0.10416666666666667,0.20833333333333334,0.041666666666666664,0.25
South-west,JMP,JNE,JURIEN_202201_JNE,T,0.16666666666666666,0.07291666666666667,0.22916666666666669,0.041666666666666664,0.3333333333333333
South-west,JMP,JNE,JURIEN_202201_JNE,W,0.125,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.2916666666666667
South-west,JMP,JNE,JURIEN_202201_JNE,R,0.16666666666666669,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,JMP,JNE,JURIEN_202201_JNE,F,0.16666666666666666,0.125,0.20833333333333334,0.041666666666666664,0.3333333333333333
South-west,JMP,JNE,JURIEN_202201_JNE,Sa,0.25,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.4166666666666667
South-west,JMP,JNE,JURIEN_202201_JNE,Su,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.20833333333333334
South-west,JMP,JSE,JURIEN_202201_JSE,M,0.08333333333333333,0.041666666666666664,0.13541666666666666,0.041666666666666664,0.16666666666666666
South-west,JMP,JSE,JURIEN_202201_JSE,T,0.125,0.10416666666666667,0.13541666666666666,0.041666666666666664,0.16666666666666666
South-west,JMP,JSE,JURIEN_202201_JSE,W,0.125,0.125,0.20833333333333334,0.125,0.20833333333333334
South-west,JMP,JSE,JURIEN_202201_JSE,R,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.2916666666666667
South-west,JMP,JSE,JURIEN_202201_JSE,F,0.16666666666666666,0.10416666666666666,0.19791666666666666,0.041666666666666664,0.20833333333333334
South-west,JMP,JSE,JURIEN_202201_JSE,Sa,0.20833333333333334,0.09375,0.2916666666666667,0.041666666666666664,0.3333333333333333
South-west,JMP,JSE,JURIEN_202201_JSE,Su,0.1875,0.13541666666666666,0.21875,0.041666666666666664,0.25
South-west,MMP,MRE,MURAT_202002_MRE,F,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
South-west,MMP,MRE,MURAT_202002_MRE,Sa,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
South-west,MMP,MRW,MURAT_202002_MRW,F,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
South-west,SWCMP,SWS,SWC_202201_SWS,M,0.125,0.11458333333333333,0.16666666666666666,0.041666666666666664,0.2916666666666667
South-west,SWCMP,SWS,SWC_202201_SWS,T,0.16666666666666666,0.10416666666666666,0.20833333333333334,0.041666666666666664,0.25
South-west,SWCMP,SWS,SWC_202201_SWS,W,0.125,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,SWCMP,SWS,SWC_202201_SWS,R,0.16666666666666666,0.125,0.22916666666666669,0.08333333333333333,0.3333333333333333
South-west,SWCMP,SWS,SWC_202201_SWS,F,0.125,0.11458333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667
South-west,SWCMP,SWS,SWC_202201_SWS,Sa,0.20833333333333334,0.11458333333333333,0.2916666666666667,0.08333333333333333,0.4583333333333333
South-west,SWCMP,SWS,SWC_202201_SWS,Su,0.14583333333333331,0.08333333333333333,0.17708333333333334,0.041666666666666664,0.2916666666666667
South-west,TRMP,TRE,TWOROCKS_202105_TRE,M,0.125,0.041666666666666664,0.22916666666666669,0.041666666666666664,0.4583333333333333
South-west,TRMP,TRE,TWOROCKS_202105_TRE,T,0.25,0.08333333333333333,0.375,0.041666666666666664,0.5
South-west,TRMP,TRE,TWOROCKS_202105_TRE,W,0.16666666666666666,0.041666666666666664,0.39583333333333337,0.041666666666666664,0.5416666666666666
South-west,TRMP,TRE,TWOROCKS_202105_TRE,R,0.2916666666666667,0.125,0.4895833333333333,0.041666666666666664,0.5416666666666666
South-west,TRMP,TRE,TWOROCKS_202105_TRE,F,0.4166666666666667,0.3333333333333333,0.4583333333333333,0.125,0.5416666666666666
South-west,TRMP,TRE,TWOROCKS_202105_TRE,Sa,0.3333333333333333,0.1875,0.5,0.041666666666666664,0.7083333333333334
South-west,TRMP,TRE,TWOROCKS_202105_TRE,Su,0.16666666666666666,0.10416666666666666,0.33333333333333337,0.041666666666666664,0.4166666666666667
South-west,TRMP,TRW,TWOROCKS_202105_TRW,M,0.08333333333333333,0.041666666666666664,0.15625,0.041666666666666664,0.375
South-west,TRMP,TRW,TWOROCKS_202105_TRW,T,0.10416666666666666,0.041666666666666664,0.19791666666666669,0.041666666666666664,0.4583333333333333
South-west,TRMP,TRW,TWOROCKS_202105_TRW,W,0.14583333333333331,0.041666666666666664,0.22916666666666666,0.041666666666666664,0.4583333333333333
South-west,TRMP,TRW,TWOROCKS_202105_TRW,R,0.3333333333333333,0.08333333333333333,0.5,0.041666666666666664,0.5833333333333334
South-west,TRMP,TRW,TWOROCKS_202105_TRW,F,0.2916666666666667,0.14583333333333331,0.39583333333333337,0.041666666666666664,0.5416666666666666
South-west,TRMP,TRW,TWOROCKS_202105_TRW,Sa,0.16666666666666666,0.125,0.3333333333333333,0.041666666666666664,0.7083333333333334
South-west,TRMP,TRW,TWOROCKS_202105_TRW,Su,0.10416666666666666,0.07291666666666667,0.13541666666666666,0.041666666666666664,0.5
South-west,NA,NA,MURAT_202002_MRE,M,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,T,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,W,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,R,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRE,Su,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,M,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,T,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,W,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,R,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,Sa,0,0,0,0,0
South-west,NA,NA,MURAT_202002_MRW,Su,0,0,0,0,0
